symbol,timestamp,open,high,low,close,volume,source,last_updated
KPITTECH,2025-11-14 09:15:00,1234.1,1237.8,1233.9,1236.4,3742,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:16:00,1236.4,1237.4,1235.0,1236.1,2893,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:17:00,1236.4,1237.0,1235.6,1236.0,396,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:18:00,1236.0,1237.0,1236.0,1236.5,1235,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:19:00,1236.0,1236.0,1234.2,1234.6,1300,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:20:00,1234.9,1234.9,1231.4,1232.7,5452,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:21:00,1232.9,1234.1,1231.8,1232.1,1828,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:22:00,1232.8,1234.7,1232.4,1233.9,1231,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:23:00,1234.3,1236.3,1234.3,1234.9,1340,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:24:00,1234.9,1236.4,1233.5,1236.4,928,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:25:00,1235.5,1237.5,1235.5,1236.7,2639,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:26:00,1236.1,1239.6,1236.1,1238.4,786,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:27:00,1238.4,1239.8,1238.3,1239.1,1026,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:28:00,1239.7,1240.5,1239.4,1240.2,1001,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:29:00,1240.4,1240.4,1238.1,1239.1,1083,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:30:00,1238.4,1238.9,1235.5,1236.0,2014,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:31:00,1235.5,1235.7,1233.3,1235.6,2195,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:32:00,1235.0,1235.6,1234.2,1235.4,3327,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:33:00,1235.8,1235.8,1234.9,1235.3,2032,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:34:00,1234.9,1235.8,1234.9,1235.3,544,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:35:00,1235.8,1236.3,1234.1,1236.3,10023,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:36:00,1236.1,1236.4,1235.3,1235.7,90,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:37:00,1235.6,1235.6,1233.4,1233.7,334,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:38:00,1233.7,1235.3,1233.1,1233.1,5375,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:39:00,1232.6,1233.7,1232.3,1232.3,1064,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:40:00,1232.0,1232.3,1232.0,1232.1,267,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:41:00,1232.1,1233.3,1232.1,1233.3,939,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:42:00,1233.3,1234.0,1232.9,1233.8,335,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:43:00,1233.7,1234.7,1233.7,1234.4,421,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:44:00,1234.1,1234.3,1233.6,1233.6,334,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:45:00,1233.8,1234.2,1233.1,1233.8,264,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:46:00,1233.9,1233.9,1233.3,1233.9,271,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:47:00,1233.9,1234.7,1233.5,1234.3,610,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:48:00,1234.3,1234.7,1234.0,1234.6,242,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:49:00,1234.6,1234.6,1233.4,1233.4,660,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:50:00,1233.8,1233.8,1233.1,1233.6,815,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:51:00,1233.4,1233.7,1232.6,1233.1,399,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:52:00,1232.5,1232.5,1232.0,1232.0,449,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:53:00,1232.2,1232.2,1230.3,1230.5,1207,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:54:00,1230.5,1231.0,1230.2,1231.0,470,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:55:00,1231.1,1231.2,1230.1,1231.2,868,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:56:00,1231.2,1231.4,1230.6,1231.2,673,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:57:00,1230.7,1231.2,1230.5,1230.7,194,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:58:00,1230.5,1231.0,1230.3,1230.5,277,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 09:59:00,1231.0,1231.0,1230.2,1230.8,745,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:00:00,1231.2,1233.4,1231.2,1233.3,2590,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:01:00,1233.3,1233.8,1232.2,1232.2,2438,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:02:00,1232.8,1233.2,1232.1,1232.9,655,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:03:00,1232.9,1232.9,1232.4,1232.4,218,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:04:00,1232.8,1233.1,1232.0,1233.1,520,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:05:00,1233.9,1234.4,1233.2,1234.4,557,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:06:00,1234.4,1234.5,1234.0,1234.1,452,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:07:00,1234.1,1235.3,1233.7,1234.1,1848,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:08:00,1234.7,1235.0,1233.7,1234.7,1069,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:09:00,1234.7,1234.7,1233.6,1234.0,270,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:10:00,1234.0,1234.0,1233.5,1233.6,109,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:11:00,1233.6,1234.0,1233.1,1233.1,160,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:12:00,1233.6,1233.6,1232.8,1233.0,253,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:13:00,1233.2,1233.5,1233.0,1233.3,114,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:14:00,1233.2,1233.2,1232.4,1232.4,331,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:15:00,1232.4,1232.9,1231.5,1231.5,619,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:16:00,1231.9,1233.3,1231.6,1232.4,1083,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:17:00,1233.1,1233.3,1232.4,1233.1,103,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:18:00,1233.1,1233.1,1232.6,1232.9,202,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:19:00,1232.6,1232.8,1232.4,1232.7,111,DHAN_HISTORY,2026-03-15 18:12:18
KPITTECH,2025-11-14 10:20:00,1232.8,1232.9,1231.9,1232.4,98,DHAN_HISTORY,2026-03-15 18:12:18
