Symbol,Series,Security Name,Band,Remarks
21STCENMGM,EQ,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
ANONDITA,ST,ANONDITA MEDICARE LIMITED,2,"-"
ANSALAPI,BZ,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,2,"GSM STAGE - 0"
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,2,"GSM STAGE - II"
CURAA,BE,CURA TECHNOLOGIES LIMITED,2,"GSM STAGE - 0"
DHARIWAL,ST,DHARIWALCORP LIMITED,2,"-"
DHTL,ST,DOCMODE HEALTH TECHNOLOGIES LIMITED,2,"-"
DPEL,ST,DIVINE POWER ENERGY LIMITED,2,"-"
EXIMROUTES,ST,EXIM ROUTES LIMITED,2,"-"
FEL,BZ,FUTURE ENTERPRISES LIMITED,2,"GSM STAGE - 0"
GSTL,ST,GLOBESECURE TECHNOLOGIES LIMITED,2,"-"
GVKPIL,BE,GVK POWER & INFRASTRUCTURE LIMITED,2,"-"
ITTL,ST,INNOVATIVE TYRES & TUBES LIMITED,2,"-"
MAHASTEEL,BE,MAHAMAYA STEEL INDUSTRIES LIMITED,2,"-"
MCL,BE,MADHAV COPPER LIMITED,2,"-"
MEP,BZ,MEP INFRASTRUCTURE DEVELOPERS LIMITED,2,"GSM STAGE - 0"
NORBTEAEXP,BE,NORBEN TEA & EXPORTS LIMITED,2,"-"
RAJRILTD,BE,RAJ RAYON INDUSTRIES LIMITED,2,"-"
SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,"-"
SANCO,BZ,SANCO INDUSTRIES LIMITED,2,"GSM STAGE - 0"
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,2,"GSM STAGE - 0"
SITINET,BZ,SITI NETWORKS LIMITED,2,"-"
SOMATEX,BE,SOMA TEXTILES & INDUSTRIES LIMITED,2,"-"
VIPULLTD,BE,VIPUL LIMITED,2,"-"
WINSOME,BZ,WINSOME YARNS LIMITED,2,"GSM STAGE - 0"
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LIMITED,5,"-"
AAATECH,BE,AAA TECHNOLOGIES LIMITED,5,"-"
AAREYDRUGS,EQ,AAREY DRUGS & PHARMACEUTICALS LIMITED,5,"-"
ABAN,BE,ABAN OFFSHORE LIMITED,5,"-"
ABINFRA,EQ,A B INFRABUILD LIMITED,5,"-"
ABSLLIQUID,EQ,ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF,5,"-"
ACCORD,SM,ACCORD SYNERGY LIMITED,5,"-"
ACCPL,ST,ACCRETION PHARMACEUTICALS LIMITED,5,"-"
AGARWALFT,SM,AGARWAL FLOAT GLASS INDIA LIMITED,5,"-"
AGRITECH,BE,AGRI-TECH (INDIA) LIMITED,5,"-"
AGSTRA,BZ,AGS TRANSACT TECHNOLOGIES LIMITED,5,"-"
AGUL,SM,A G UNIVERSAL LIMITED,5,"-"
AHIMSA,ST,AHIMSA INDUSTRIES LIMITED,5,"-"
AILIMITED,SM,ABHISHEK INTEGRATIONS LIMITED,5,"-"
AIMTRON,ST,AIMTRON ELECTRONICS LIMITED,5,"-"
AISL,SM,ANI INTEGRATED SERVICES LIMITED,5,"-"
AKIKO,ST,AKIKO GLOBAL SERVICES LIMITED,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMCL,ST,ANB METAL CAST LIMITED,5,"-"
AMEYA,SM,AMEYA PRECISION ENGINEERS LIMITED,5,"-"
AMIABLE,ST,AMIABLE LOGISTICS (INDIA) LIMITED,5,"-"
ANKITMETAL,BZ,ANKIT METAL & POWER LIMITED,5,"GSM STAGE - 0"
AONELIQUID,EQ,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,5,"-"
APOLLO,EQ,APOLLO MICRO SYSTEMS LIMITED,5,"-"
ARFIN,EQ,ARFIN INDIA LIMITED,5,"-"
ARHAM,ST,ARHAM TECHNOLOGIES LIMITED,5,"-"
ARISTO,SM,ARISTO BIO-TECH AND LIFESCIENCE LIMITED,5,"-"
ARMOUR,ST,ARMOUR SECURITY (INDIA) LIMITED,5,"-"
