2026-02-06 11:14:52.762 | INFO     | src.data.dhan_client:__init__:20 - Initializing DhanHQ Data Client...
2026-02-06 11:14:54.232 | INFO     | src.data.dhan_client:_load_master_data:63 - Dhan Master List Loaded. 9016 symbols mapped.
2026-02-06 11:14:54.234 | INFO     | __main__:deep_dive_ricoauto:32 - Fetching deep dive data for RICOAUTO...
2026-02-06 11:14:54.950 | DEBUG    | src.data.dhan_client:fetch_realtime_data:162 - Dhan Filter: period=1d, cutoff=2026-02-05 11:14:54.950509, index_start=2026-01-30 03:45:00, index_end=2026-02-06 05:44:00

===============================================================================================
POINTS SIMULATION: RICOAUTO
===============================================================================================
Time                 Close    Vol      Ratio  V-Dist   EMA-S    Score 
-----------------------------------------------------------------------------------------------
2026-02-06 04:06:00 | 125.48   | 501      | 0.1    | -0.00   % | None     | 10    
2026-02-06 04:07:00 | 125.17   | 16341    | 1.8    | -0.23   % | None     | 20    
2026-02-06 04:08:00 | 124.97   | 3084     | 0.3    | -0.38   % | None     | 10    
2026-02-06 04:09:00 | 125.29   | 3596     | 0.4    | -0.13   % | None     | 10    
2026-02-06 04:10:00 | 125.03   | 1947     | 0.3    | -0.33   % | None     | 10    
2026-02-06 04:11:00 | 125.17   | 579      | 0.1    | -0.22   % | None     | 10    
2026-02-06 04:12:00 | 125.20   | 3757     | 0.8    | -0.19   % | None     | 10    
2026-02-06 04:13:00 | 125.17   | 3361     | 0.9    | -0.21   % | None     | 10    
2026-02-06 04:14:00 | 124.86   | 6757     | 1.6    | -0.45   % | None     | 20    
2026-02-06 04:15:00 | 125.16   | 10129    | 2.0    | -0.20   % | None     | 20    
2026-02-06 04:16:00 | 125.24   | 3670     | 0.7    | -0.14   % | None     | 10    
2026-02-06 04:17:00 | 125.20   | 3273     | 0.8    | -0.17   % | None     | 10    
2026-02-06 04:18:00 | 125.12   | 4714     | 1.1    | -0.23   % | None     | 10    
2026-02-06 04:19:00 | 125.87   | 36783    | 4.9    | 0.33    % | CROSS    | 60    
2026-02-06 04:20:00 | 125.66   | 3697     | 0.5    | 0.16    % | ABOVE    | 30    
2026-02-06 04:21:00 | 126.00   | 13649    | 1.5    | 0.41    % | ABOVE    | 40    
2026-02-06 04:22:00 | 126.09   | 2687     | 0.3    | 0.48    % | ABOVE    | 30    
2026-02-06 04:23:00 | 125.88   | 12205    | 1.3    | 0.30    % | ABOVE    | 30    
2026-02-06 04:24:00 | 126.23   | 11161    | 1.1    | 0.56    % | ABOVE    | 40    
2026-02-06 04:25:00 | 126.24   | 10449    | 1.0    | 0.56    % | ABOVE    | 40    
2026-02-06 04:26:00 | 127.11   | 20783    | 1.7    | 1.18    % | ABOVE    | 30    
2026-02-06 04:27:00 | 127.08   | 45148    | 2.8    | 1.04    % | ABOVE    | 30    
2026-02-06 04:28:00 | 127.40   | 19657    | 1.1    | 1.24    % | ABOVE    | 20    
2026-02-06 04:29:00 | 127.48   | 32890    | 1.9    | 1.21    % | ABOVE    | 30    
2026-02-06 04:30:00 | 127.60   | 6555     | 0.4    | 1.29    % | ABOVE    | 20    
2026-02-06 04:31:00 | 127.33   | 7683     | 0.5    | 1.06    % | ABOVE    | 20    
2026-02-06 04:32:00 | 127.25   | 2477     | 0.1    | 0.99    % | ABOVE    | 20    
2026-02-06 04:33:00 | 126.68   | 4027     | 0.3    | 0.53    % | ABOVE    | 40    
2026-02-06 04:34:00 | 126.72   | 12309    | 0.8    | 0.55    % | ABOVE    | 40    
2026-02-06 04:35:00 | 128.57   | 53488    | 2.6    | 1.83    % | ABOVE    | 50    
2026-02-06 04:36:00 | 129.65   | 58989    | 2.4    | 2.43    % | ABOVE    | 40    
2026-02-06 04:37:00 | 129.25   | 30155    | 1.3    | 2.02    % | ABOVE    | 40    
2026-02-06 04:38:00 | 130.59   | 104664   | 3.3    | 2.65    % | ABOVE    | 50    
2026-02-06 04:39:00 | 130.56   | 52474    | 1.6    | 2.45    % | ABOVE    | 40    
2026-02-06 04:40:00 | 130.50   | 89082    | 2.1    | 2.17    % | ABOVE    | 40    
2026-02-06 04:41:00 | 130.99   | 36394    | 0.8    | 2.45    % | ABOVE    | 30    
2026-02-06 04:42:00 | 130.65   | 36076    | 0.8    | 2.10    % | ABOVE    | 30    
2026-02-06 04:43:00 | 130.81   | 44921    | 0.9    | 2.13    % | ABOVE    | 30    
2026-02-06 04:44:00 | 130.51   | 28204    | 0.5    | 1.84    % | ABOVE    | 30    
2026-02-06 04:45:00 | 131.20   | 70523    | 1.3    | 2.23    % | ABOVE    | 30    
2026-02-06 04:46:00 | 131.24   | 97098    | 1.6    | 2.08    % | ABOVE    | 40    
2026-02-06 04:47:00 | 131.57   | 66791    | 1.1    | 2.21    % | ABOVE    | 30    
2026-02-06 04:48:00 | 131.54   | 164468   | 2.4    | 1.94    % | ABOVE    | 40    
2026-02-06 04:49:00 | 132.17   | 64606    | 0.9    | 2.32    % | ABOVE    | 30    
2026-02-06 04:50:00 | 131.70   | 49990    | 0.8    | 1.89    % | ABOVE    | 30    
2026-02-06 04:51:00 | 131.82   | 39696    | 0.6    | 1.94    % | ABOVE    | 30    
2026-02-06 04:52:00 | 131.43   | 244152   | 2.8    | 1.42    % | ABOVE    | 40    
2026-02-06 04:53:00 | 132.62   | 57196    | 0.6    | 2.26    % | ABOVE    | 30    
2026-02-06 04:54:00 | 133.51   | 211787   | 2.0    | 2.65    % | ABOVE    | 40    
2026-02-06 04:55:00 | 134.33   | 163991   | 1.4    | 3.04    % | ABOVE    | 40    
2026-02-06 04:56:00 | 134.75   | 119840   | 1.0    | 3.19    % | ABOVE    | 30    
2026-02-06 04:57:00 | 134.42   | 125759   | 1.0    | 2.78    % | ABOVE    | 30    
2026-02-06 04:58:00 | 133.87   | 79689    | 0.7    | 2.29    % | ABOVE    | 30    
2026-02-06 04:59:00 | 134.05   | 72611    | 0.6    | 2.36    % | ABOVE    | 30    
