Symbol,Series,Security Name,Band,Remarks
AXISBANK,EQ,AXIS BANK LIMITED,No Band,-
BAJFINANCE,EQ,BAJAJ FINANCE LIMITED,No Band,-
BANDHANBNK,EQ,BANDHAN BANK LIMITED,No Band,-
BANKBARODA,EQ,BANK OF BARODA,No Band,-
BANKINDIA,EQ,BANK OF INDIA,No Band,-
BEL,EQ,BHARAT ELECTRONICS LIMITED,No Band,-
BHARTIARTL,EQ,BHARTI AIRTEL LIMITED,No Band,-
BHEL,EQ,BHARAT HEAVY ELECTRICALS LIMITED,No Band,-
BPCL,EQ,BHARAT PETROLEUM CORPORATION LIMITED,No Band,-
BSE,EQ,BSE LIMITED,No Band,-
CANBK,EQ,CANARA BANK,No Band,-
CGPOWER,EQ,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,No Band,-
COALINDIA,EQ,COAL INDIA LIMITED,No Band,-
CROMPTON,EQ,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,No Band,-
ETERNAL,EQ,ETERNAL LIMITED,No Band,-
EXIDEIND,EQ,EXIDE INDUSTRIES LIMITED,No Band,-
GAIL,EQ,GAIL (INDIA) LIMITED,No Band,-
GMRAIRPORT,EQ,GMR AIRPORTS LIMITED,No Band,-
HDFCBANK,EQ,HDFC BANK LIMITED,No Band,-
HDFCLIFE,EQ,HDFC LIFE INSURANCE COMPANY LIMITED,No Band,-
HINDALCO,EQ,HINDALCO INDUSTRIES LIMITED,No Band,-
HINDPETRO,EQ,HINDUSTAN PETROLEUM CORPORATION LIMITED,No Band,-
HINDZINC,EQ,HINDUSTAN ZINC LIMITED,No Band,-
HUDCO,EQ,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,No Band,-
ICICIBANK,EQ,ICICI BANK LIMITED,No Band,-
IDFCFIRSTB,EQ,IDFC FIRST BANK LIMITED,No Band,-
IEX,EQ,INDIAN ENERGY EXCHANGE LIMITED,No Band,-
INDUSTOWER,EQ,INDUS TOWERS LIMITED,No Band,-
INFY,EQ,INFOSYS LIMITED,No Band,-
IOC,EQ,INDIAN OIL CORPORATION LIMITED,No Band,-
IREDA,EQ,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,No Band,-
IRFC,EQ,INDIAN RAILWAY FINANCE CORPORATION LIMITED,No Band,-
ITC,EQ,ITC LIMITED,No Band,-
JIOFIN,EQ,JIO FINANCIAL SERVICES LIMITED,No Band,-
KOTAKBANK,EQ,KOTAK MAHINDRA BANK LIMITED,No Band,-
LODHA,EQ,LODHA DEVELOPERS LIMITED,No Band,-
MOTHERSON,EQ,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,No Band,-
NATIONALUM,EQ,NATIONAL ALUMINIUM COMPANY LIMITED,No Band,-
NBCC,EQ,NBCC (INDIA) LIMITED,No Band,-
NHPC,EQ,NHPC LIMITED,No Band,-
NMDC,EQ,NMDC LIMITED,No Band,-
NTPC,EQ,NTPC LIMITED,No Band,-
NYKAA,EQ,FSN E COMMERCE VENTURES LIMITED,No Band,-
OIL,EQ,OIL INDIA LIMITED,No Band,-
ONGC,EQ,OIL & NATURAL GAS CORPORATION LIMITED,No Band,-
PAYTM,EQ,ONE 97 COMMUNICATIONS LIMITED,No Band,-
PFC,EQ,POWER FINANCE CORPORATION LIMITED,No Band,-
PGEL,EQ,PG ELECTROPLAST LIMITED,No Band,-
PNB,EQ,PUNJAB NATIONAL BANK,No Band,-
POLICYBZR,EQ,PB FINTECH LIMITED,No Band,-
POWERGRID,EQ,POWER GRID CORPORATION OF INDIA LIMITED,No Band,-
RECLTD,EQ,REC LIMITED,No Band,-
RELIANCE,EQ,RELIANCE INDUSTRIES LIMITED,No Band,-
RVNL,EQ,RAIL VIKAS NIGAM LIMITED,No Band,-
SAIL,EQ,STEEL AUTHORITY OF INDIA LIMITED,No Band,-
SAMMAANCAP,EQ,SAMMAAN CAPITAL LIMITED,No Band,-
SBIN,EQ,STATE BANK OF INDIA,No Band,-
SHRIRAMFIN,EQ,SHRIRAM FINANCE LIMITED,No Band,-
SUNPHARMA,EQ,SUN PHARMACEUTICAL INDUSTRIES LIMITED,No Band,-
SUZLON,EQ,SUZLON ENERGY LIMITED,No Band,-
SWIGGY,EQ,SWIGGY LIMITED,No Band,-
