2026-02-06 11:10:08.728 | INFO     | src.data.dhan_client:__init__:20 - Initializing DhanHQ Data Client...
2026-02-06 11:10:08.728 | INFO     | src.data.dhan_client:_load_master_data:36 - Downloading Dhan Instrument Master CSV...
2026-02-06 11:10:11.199 | INFO     | src.data.dhan_client:_load_master_data:44 - Dhan Master CSV downloaded successfully.
2026-02-06 11:10:12.618 | INFO     | src.data.dhan_client:_load_master_data:63 - Dhan Master List Loaded. 9016 symbols mapped.
2026-02-06 11:10:12.620 | INFO     | __main__:deep_dive_ricoauto:32 - Fetching deep dive data for RICOAUTO...
2026-02-06 11:10:13.383 | DEBUG    | src.data.dhan_client:fetch_realtime_data:162 - Dhan Filter: period=1d, cutoff=2026-02-05 11:10:13.382921, index_start=2026-01-30 03:45:00, index_end=2026-02-06 05:40:00

================================================================================
MINUTE-BY-MINUTE ANALYSIS: RICOAUTO
================================================================================
Time                 Close      Vol        Ratio  VWAP       BW       Chg%    
--------------------------------------------------------------------------------
2026-02-06 03:45:00 | 126.00     | 16385      | nan    | 126.00     | nan      | -1.10   %
2026-02-06 03:46:00 | 126.05     | 18529      | nan    | 126.03     | nan      | -1.06   %
2026-02-06 03:47:00 | 125.87     | 11440      | nan    | 125.99     | nan      | -1.20   %
2026-02-06 03:48:00 | 125.98     | 13394      | nan    | 125.99     | nan      | -1.11   %
2026-02-06 03:49:00 | 125.87     | 5233       | nan    | 125.98     | nan      | -1.20   %
2026-02-06 03:50:00 | 125.75     | 17879      | nan    | 125.93     | nan      | -1.30   %
2026-02-06 03:51:00 | 125.45     | 13851      | nan    | 125.86     | nan      | -1.53   %
2026-02-06 03:52:00 | 125.48     | 2033       | nan    | 125.85     | nan      | -1.51   %
2026-02-06 03:53:00 | 125.34     | 11395      | nan    | 125.80     | nan      | -1.62   %
2026-02-06 03:54:00 | 125.01     | 9203       | 0.8    | 125.74     | nan      | -1.88   %
2026-02-06 03:55:00 | 125.14     | 9551       | 0.8    | 125.69     | nan      | -1.77   %
2026-02-06 03:56:00 | 124.80     | 10237      | 1.0    | 125.63     | nan      | -2.04   %
2026-02-06 03:57:00 | 124.87     | 7962       | 0.8    | 125.59     | nan      | -1.99   %
2026-02-06 03:58:00 | 124.69     | 3247       | 0.4    | 125.57     | nan      | -2.13   %
2026-02-06 03:59:00 | 125.07     | 11730      | 1.2    | 125.53     | nan      | -1.83   %
2026-02-06 04:00:00 | 125.30     | 18917      | 1.9    | 125.51     | nan      | -1.65   %
2026-02-06 04:01:00 | 125.50     | 7679       | 0.8    | 125.51     | nan      | -1.49   %
2026-02-06 04:02:00 | 125.21     | 13369      | 1.3    | 125.49     | nan      | -1.72   %
2026-02-06 04:03:00 | 125.44     | 14255      | 1.3    | 125.48     | nan      | -1.54   %
2026-02-06 04:04:00 | 125.32     | 4111       | 0.4    | 125.48     | 0.0132   | -1.63   %
2026-02-06 04:05:00 | 125.33     | 1035       | 0.1    | 125.48     | 0.0124   | -1.62   %
2026-02-06 04:06:00 | 125.48     | 501        | 0.1    | 125.48     | 0.0113   | -1.51   %
2026-02-06 04:07:00 | 125.17     | 16341      | 1.8    | 125.46     | 0.0107   | -1.75   %
2026-02-06 04:08:00 | 124.97     | 3084       | 0.3    | 125.45     | 0.0097   | -1.91   %
2026-02-06 04:09:00 | 125.29     | 3596       | 0.4    | 125.45     | 0.0085   | -1.66   %
2026-02-06 04:10:00 | 125.03     | 1947       | 0.3    | 125.45     | 0.0077   | -1.86   %
2026-02-06 04:11:00 | 125.17     | 579        | 0.1    | 125.45     | 0.0075   | -1.75   %
2026-02-06 04:12:00 | 125.20     | 3757       | 0.8    | 125.44     | 0.0071   | -1.73   %
2026-02-06 04:13:00 | 125.17     | 3361       | 0.9    | 125.44     | 0.0070   | -1.75   %
2026-02-06 04:14:00 | 124.86     | 6757       | 1.6    | 125.42     | 0.0072   | -1.99   %
